SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,48,1,1,0,1,1,0,1,1,1,107.4,5121.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,31,1,0,0,0,1,0,0,1,1,95.45839923784018,2930.239796840421,0.0,1.0,0.0,0.0,0.0,0.0,0.5615794115844589,0.0
0,0,0,1,1,0,0,0,0,0,0,0,1,79.37574516840748,79.37574516840748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12872584203742998
0,1,1,44,1,0,0,0,0,0,0,0,1,20.5,865.0499877929688,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,0,0,1,1,0,0,0,0,0,0,1,0,79.65592243232298,79.65592243232298,0.44075861007733175,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,1,0,0,0,0,0,0,0,0,0,30.381703843478153,30.381703843478153,0.3943215245509809,0.0,0.0,0.0,0.0,0.0,0.3943215245509809,0.0
0,0,0,1,1,1,0,0,1,0,1,1,1,101.45,101.45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,9,1,0,0,0,0,0,1,0,1,77.65,714.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,5,1,0,0,0,0,0,1,1,1,89.5,477.7000122070313,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,3,1,1,0,0,0,0,0,0,1,75.72543398990341,231.1675099772259,0.8335545877418918,1.0,0.0,0.0,0.0,0.16644541225810816,0.8335545877418918,0.0
0,1,1,70,1,1,1,1,1,1,1,1,1,113.0500030517578,7869.0498046875,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,0,58,1,1,1,0,0,1,0,0,1,61.04999923706055,3478.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,3,1,1,0,0,0,0,0,0,0,24.600000381469727,86.3499984741211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,12,1,0,0,0,0,0,0,0,0,88.52372195703414,1094.8063479219825,0.38293490247804884,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,2,1,0,0,0,1,0,0,1,1,86.19999694824219,178.6999969482422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,5,1,1,0,0,0,0,1,0,1,85.2,474.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,0,1,0,1,79.95461251570131,79.95461251570131,0.3938499790649065,1.0,0.0,0.0,0.0,0.0,1.0,0.0
