iter	Passed	Remaining
0	7	7097
1	15	7971
2	24	8147
3	33	8375
4	83	16711
5	93	15514
6	106	15108
7	119	14845
8	128	14158
9	140	13894
10	157	14191
11	164	13516
12	170	12948
13	177	12476
14	183	12047
15	190	11704
16	196	11383
17	203	11117
18	210	10884
19	217	10645
20	224	10455
21	230	10253
22	237	10090
23	244	9926
24	250	9768
25	257	9660
26	264	9529
27	270	9376
28	276	9250
29	282	9135
30	290	9068
31	296	8971
32	305	8938
33	311	8856
34	318	8773
35	324	8698
36	331	8621
37	338	8571
38	345	8507
39	352	8457
40	358	8393
41	365	8333
42	372	8281
43	378	8224
44	385	8174
45	391	8117
46	397	8065
47	404	8023
48	411	7976
49	417	7941
50	424	7901
51	431	7870
52	441	7887
53	447	7846
54	454	7805
55	460	7761
56	467	7735
57	473	7696
58	480	7660
59	487	7631
60	493	7600
61	501	7587
62	508	7557
63	515	7532
64	521	7505
65	528	7477
66	540	7521
67	547	7501
68	553	7470
69	560	7440
70	566	7415
71	573	7389
72	580	7368
73	587	7353
74	594	7334
75	602	7322
76	610	7314
77	617	7295
78	624	7279
79	638	7343
80	647	7350
81	655	7337
82	663	7329
83	670	7308
84	678	7299
85	685	7280
86	692	7263
87	698	7241
88	705	7219
89	712	7201
90	718	7175
91	725	7156
92	731	7134
93	737	7110
94	744	7090
95	750	7070
96	758	7060
97	764	7038
98	770	7016
99	777	7000
100	785	6988
101	792	6979
102	799	6964
103	807	6958
104	814	6940
105	821	6928
106	828	6914
107	835	6898
108	842	6888
109	849	6872
110	859	6879
111	865	6864
112	873	6856
113	880	6841
114	888	6836
115	895	6827
116	903	6816
117	909	6801
118	916	6788
119	923	6773
120	930	6760
121	938	6752
122	945	6740
123	952	6732
124	960	6720
125	967	6709
126	974	6697
127	980	6682
128	988	6675
129	996	6665
130	1005	6672
131	1013	6665
132	1022	6662
133	1029	6655
134	1038	6653
135	1045	6639
136	1053	6637
137	1061	6628
138	1068	6620
139	1077	6619
140	1104	6727
141	1111	6715
142	1119	6708
143	1126	6697
144	1137	6706
145	1144	6695
146	1153	6694
147	1160	6682
148	1168	6672
149	1175	6658
150	1182	6648
151	1188	6632
152	1196	6623
153	1203	6608
154	1210	6596
155	1217	6588
156	1224	6575
157	1231	6563
158	1238	6549
159	1246	6542
160	1252	6529
161	1260	6518
162	1266	6505
163	1273	6493
164	1297	6567
165	1304	6556
166	1313	6552
167	1320	6541
168	1328	6531
169	1334	6517
170	1342	6509
171	1349	6494
172	1355	6481
173	1362	6468
174	1369	6455
175	1376	6445
176	1383	6432
177	1391	6424
178	1397	6410
179	1404	6399
180	1411	6386
181	1418	6374
182	1426	6367
183	1433	6358
184	1441	6350
185	1448	6337
186	1455	6326
187	1462	6314
188	1469	6304
189	1476	6295
190	1483	6283
191	1492	6279
192	1499	6269
193	1506	6259
194	1513	6246
195	1517	6226
196	1525	6217
197	1531	6205
198	1539	6196
199	1546	6185
200	1554	6179
201	1562	6172
202	1570	6165
203	1577	6155
204	1585	6147
205	1605	6188
206	1610	6171
207	1618	6162
208	1624	6149
209	1631	6137
210	1638	6126
211	1645	6115
212	1652	6106
213	1659	6096
214	1666	6086
215	1673	6075
216	1680	6064
217	1687	6054
218	1694	6041
219	1701	6034
220	1710	6028
221	1718	6021
222	1724	6009
223	1732	6000
224	1738	5988
225	1745	5976
226	1752	5969
227	1759	5958
228	1767	5951
229	1775	5943
230	1783	5936
231	1790	5926
232	1797	5918
233	1804	5907
234	1811	5895
235	1818	5885
236	1825	5875
237	1832	5867
238	1839	5856
239	1847	5849
240	1854	5838
241	1861	5831
242	1868	5820
243	1875	5811
244	1882	5799
245	1888	5787
246	1895	5778
247	1902	5768
248	1910	5760
249	1928	5786
250	1935	5776
251	1943	5768
252	1949	5756
253	1956	5747
254	1964	5738
255	1971	5728
256	1979	5721
257	1986	5711
258	1993	5704
259	2000	5694
260	2008	5686
261	2015	5675
262	2022	5666
263	2028	5655
264	2034	5644
265	2044	5641
266	2051	5632
267	2061	5630
268	2070	5626
269	2077	5618
270	2085	5609
271	2093	5603
272	2101	5595
273	2111	5594
274	2118	5585
275	2126	5576
276	2132	5567
277	2140	5560
278	2147	5550
279	2154	5540
280	2160	5529
281	2167	5518
282	2173	5506
283	2179	5494
284	2186	5484
285	2191	5471
286	2197	5459
287	2204	5450
288	2210	5439
289	2217	5429
290	2223	5417
291	2229	5405
292	2235	5395
293	2241	5383
294	2248	5373
295	2255	5363
296	2260	5351
297	2267	5341
298	2273	5330
299	2280	5320
300	2287	5311
301	2293	5300
302	2300	5292
303	2308	5285
304	2315	5276
305	2321	5264
306	2327	5253
307	2334	5245
308	2340	5235
309	2347	5224
310	2353	5212
311	2359	5201
312	2366	5193
313	2372	5182
314	2378	5172
315	2384	5161
316	2390	5149
317	2396	5140
318	2402	5129
319	2408	5118
320	2415	5110
321	2421	5099
322	2428	5090
323	2434	5079
324	2440	5068
325	2447	5059
326	2452	5048
327	2458	5037
328	2464	5026
329	2470	5016
330	2477	5006
331	2482	4995
332	2488	4984
333	2494	4974
334	2500	4963
335	2506	4953
336	2513	4945
337	2519	4935
338	2525	4925
339	2531	4914
340	2537	4903
341	2544	4895
342	2550	4885
343	2557	4876
344	2563	4866
345	2568	4855
346	2575	4847
347	2581	4836
348	2587	4826
349	2593	4816
350	2599	4806
351	2605	4796
352	2611	4786
353	2617	4776
354	2623	4767
355	2629	4757
356	2635	4747
357	2642	4737
358	2648	4728
359	2654	4719
360	2659	4706
361	2665	4697
362	2671	4688
363	2677	4677
364	2682	4667
365	2689	4658
366	2695	4648
367	2701	4638
368	2707	4629
369	2713	4619
370	2719	4610
371	2725	4600
372	2730	4590
373	2737	4581
374	2742	4571
375	2748	4561
376	2755	4552
377	2761	4543
378	2767	4533
379	2772	4524
380	2778	4514
381	2784	4505
382	2790	4495
383	2795	4484
384	2801	4475
385	2807	4466
386	2813	4456
387	2820	4449
388	2826	4439
389	2832	4429
390	2838	4420
391	2843	4410
392	2849	4401
393	2855	4391
394	2861	4382
395	2867	4373
396	2872	4363
397	2878	4353
398	2884	4344
399	2890	4335
400	2896	4327
401	2902	4318
402	2908	4308
403	2914	4299
404	2920	4290
405	2925	4280
406	2931	4271
407	2937	4262
408	2943	4253
409	2949	4244
410	2955	4235
411	2961	4225
412	2966	4216
413	2972	4207
414	2978	4198
415	2984	4189
416	2989	4180
417	2995	4171
418	3001	4161
419	3006	4152
420	3012	4143
421	3018	4134
422	3024	4125
423	3031	4117
424	3038	4111
425	3045	4103
426	3051	4094
427	3057	4085
428	3062	4076
429	3068	4067
430	3074	4058
431	3080	4049
432	3085	4040
433	3091	4031
434	3097	4023
435	3103	4014
436	3109	4006
437	3115	3997
438	3120	3987
439	3126	3979
440	3132	3970
441	3138	3961
442	3144	3953
443	3149	3944
444	3155	3935
445	3161	3927
446	3167	3918
447	3172	3909
448	3178	3900
449	3183	3891
450	3189	3882
451	3195	3873
452	3200	3864
453	3206	3855
454	3211	3846
455	3217	3838
456	3223	3830
457	3229	3821
458	3234	3812
459	3240	3804
460	3246	3795
461	3252	3787
462	3258	3779
463	3263	3770
464	3269	3761
